"Transaction ID","Due/Scheduled date","Date paid","Type","Amount","Currency","FX rate on transaction date","Amount (EUR)","Counterparty","Expense category","Channel/warehouse","Status","Reconciled","Supporting document","Notes","PO#/Shipment Ref"
"TXN-0054","2026-06-12","2026-06-12","vendor payment","7844","USD","0.8638","6775.6472","Jiangsu Rikang Glass Products Co., Ltd.","Goods","","paid","FALSE","11 205,00 USD__30.07.2026_JIANGSU RIKANG GLASS PRODUCTS CO.,LTD.pdf","11 205,00 USD_30.04.2026_Jiangsu Rikang Glass Products Co., Ltd.pdf","PO1 Straw"
"TXN-0055","2026-07-06","2026-07-06","vendor payment","682","USD","0.8757","597.2274","Jiangsu Rikang Glass Products Co., Ltd.","Goods","","paid","FALSE","3410,00 USD_29.07.2026_Jiangsu Rikang Glass Products Co., Ltd.pdf","3410,00 USD_21.08.2026Jiangsu Rikang Glass Products Co., Ltd.PDF","PO2 Straw"
"TXN-0056","2026-05-11","2026-05-11","vendor payment","159271.88","EUR","","159271.88","Guangzhou Lvmengkang Pharmaceutical Technology Co., Ltd.","Goods","","paid","FALSE","375 000,00 USD_11.05.2026_Guangzhou Lvmengkang Pharmaceutical Technology co., LTD.pdf","375 000,00 USD_11.05.2026_Guangzhou Lvmengkang Pharmaceutical Technology co., LTD.pdf","PO1 Jello"
"TXN-0057","2026-06-08","2026-06-08","vendor payment","12000","EUR","","12000","Guangzhou Lvmengkang Pharmaceutical Technology Co., Ltd.","Goods","","paid","FALSE","12 000,00 EUR_08.06.2026_Guangzhou Lvmengkang Pharmaceutical Technology co., LTD.pdf","12 000,00 EUR_08.06.2026_Guangzhou Lvmengkang Pharmaceutical Technology co., LTD.pdf","PO1 Jello"
"TXN-0058","2026-06-28","2026-06-28","vendor payment","65939","EUR","","65939","Guangzhou Lvmengkang Pharmaceutical Technology Co., Ltd.","Goods","","paid","FALSE","375 000,00 USD_11.05.2026_Guangzhou Lvmengkang Pharmaceutical Technology co., LTD.pdf","375 000,00 USD_11.05.2026_Guangzhou Lvmengkang Pharmaceutical Technology co., LTD.pdf","PO1 Jello"
"TXN-0059","2026-07-16","2026-07-16","vendor payment","1551","EUR","","1551","Guangzhou Lvmengkang Pharmaceutical Technology Co., Ltd.","Goods","","paid","FALSE","1778,00 USD_11.07.2026_Guangzhou Lvmengkang Pharmaceutical Technology co., LTD.pdf","1178,00 USD_11.07.2026_Guangzhou Lvmengkang Pharmaceutical Technology co., LTD.pdf",""
"TXN-0060","2026-07-17","2026-07-17","vendor payment","33315","EUR","","33315","Guangzhou Lvmengkang Pharmaceutical Technology Co., Ltd.","Goods","","paid","FALSE","127 000,00 USD_06.07.2026_Guangzhou Lvmengkang Pharmaceutical Technology co., LTD.pdf","127 000.00 USD_06.07.2026_Guangzhou Lvmengkang Pharmaceutical Technology co., LTD.pdf","PO2 Jello"
"TXN-0061","2026-05-18","2026-05-18","vendor payment","3690","USD","0.8615","3178.935","Jieyang Chengli Hardware Industrial Co., Ltd.","Goods","","paid","FALSE","12 300,00 USD_11.05.2026_Jieyang Chengli Hardware Industry Co.pdf","12 300,00 USD_11.05.2026_Jieyang Chengli Hardware Industrial Co., Ltd.pdf","PO1 Mixer"
"TXN-0062","2026-06-12","2026-06-12","vendor payment","8610","USD","0.8651","7448.5109999999995","Jieyang Chengli Hardware Industrial Co., Ltd.","Goods","","paid","FALSE","12 300,00 USD_11.05.2026_Jieyang Chengli Hardware Industry Co.pdf","12 300,00 USD_11.05.2026_Jieyang Chengli Hardware Industrial Co., Ltd.pdf","PO1 Mixer"
"TXN-0063","2026-06-02","2026-06-02","vendor payment","895","USD","0.8582","768.0889999999999","SGS-CSTC Standards Technical Services Co.,Ltd.","Inspection","","paid","FALSE","6050 RMB_02.06.2026_SGS-CSTC Standards Technical Services Co.,Ltd..pdf","",""
